Year,Month,Month_Name,DayOfWeek,State,Weather_Group,Severity,accident_count,sum_visibility,sum_duration_min
2016,1,January,Thursday,PA,Clear,4,7,70.0,435.05
2016,2,February,Friday,IN,Cloudy,3,1,10.0,360.0
2016,2,February,Friday,IN,Cloudy,4,8,80.0,2880.0
2016,2,February,Friday,KY,Clear,2,2,20.0,720.0
2016,2,February,Friday,KY,Cloudy,2,6,60.0,2160.0
2016,2,February,Friday,KY,Cloudy,3,1,10.0,360.0
2016,2,February,Friday,KY,Cloudy,4,1,10.0,360.0
2016,2,February,Friday,MI,Cloudy,4,1,10.0,360.0
2016,2,February,Friday,OH,Clear,2,16,160.0,1860.2
2016,2,February,Friday,OH,Clear,3,4,40.0,635.3
2016,2,February,Friday,OH,Clear,4,1,10.0,360.0
2016,2,February,Friday,OH,Cloudy,2,41,410.0,9690.0
2016,2,February,Friday,OH,Cloudy,3,11,110.0,2651.8
2016,2,February,Friday,OH,Cloudy,4,8,80.0,2880.0
2016,2,February,Friday,OH,Snow/Ice,2,3,19.5,450.0
2016,2,February,Friday,OH,Snow/Ice,3,4,18.0,556.5333333333333
2016,2,February,Friday,PA,Clear,2,2,20.0,720.0
2016,2,February,Friday,PA,Cloudy,2,2,20.0,720.0
2016,2,February,Friday,PA,Snow/Ice,4,1,9.0,360.0
2016,2,February,Friday,WV,Clear,2,1,10.0,360.0
2016,2,February,Friday,WV,Cloudy,2,3,30.0,1080.0
2016,2,February,Monday,IN,Clear,2,1,10.0,360.0
2016,2,February,Monday,IN,Cloudy,2,1,2.0,360.0
2016,2,February,Monday,IN,Cloudy,3,2,7.0,720.0
2016,2,February,Monday,IN,Cloudy,4,10,40.3,3600.0
2016,2,February,Monday,IN,Snow/Ice,2,1,8.0,360.0
2016,2,February,Monday,KY,Clear,2,3,30.0,1080.0
2016,2,February,Monday,KY,Clear,3,4,40.0,1440.0
2016,2,February,Monday,KY,Clear,4,1,10.0,360.0
2016,2,February,Monday,KY,Cloudy,2,1,10.0,360.0
2016,2,February,Monday,KY,Rain,2,1,2.0,360.0
2016,2,February,Monday,KY,Snow/Ice,3,1,3.0,360.0
2016,2,February,Monday,MI,Cloudy,3,3,18.0,1080.0
2016,2,February,Monday,OH,Clear,2,21,210.0,2040.0
2016,2,February,Monday,OH,Clear,3,7,70.0,2190.0
2016,2,February,Monday,OH,Clear,4,5,50.0,1800.0
2016,2,February,Monday,OH,Cloudy,1,1,7.0,45.0
2016,2,February,Monday,OH,Cloudy,2,73,569.6,10425.483333333334
2016,2,February,Monday,OH,Cloudy,3,17,137.8,2063.0
2016,2,February,Monday,OH,Cloudy,4,7,60.0,2520.0
2016,2,February,Monday,OH,Fog/Haze,2,4,20.5,120.0
2016,2,February,Monday,OH,Rain,2,12,54.3,1050.0
2016,2,February,Monday,OH,Rain,3,11,55.8,1274.0
2016,2,February,Monday,OH,Snow/Ice,2,12,36.3,2370.0
2016,2,February,Monday,OH,Snow/Ice,3,3,5.5,677.0
