DayOfWeek,Hour,accident_count
Friday,0,14385
Friday,1,12480
Friday,2,11781
Friday,3,11130
Friday,4,27753
Friday,5,36508
Friday,6,62611
Friday,7,90120
Friday,8,88828
Friday,9,54960
Friday,10,54200
Friday,11,58274
Friday,12,58548
Friday,13,65284
Friday,14,74149
Friday,15,89229
Friday,16,99228
Friday,17,94454
Friday,18,73003
Friday,19,50376
Friday,20,35917
Friday,21,29110
Friday,22,26178
Friday,23,18723
Monday,0,12217
Monday,1,10394
Monday,2,10168
Monday,3,10202
Monday,4,25545
Monday,5,37154
Monday,6,67319
Monday,7,96401
Monday,8,95887
Monday,9,55105
Monday,10,50116
Monday,11,50197
Monday,12,47077
Monday,13,52394
Monday,14,60075
Monday,15,73470
Monday,16,84110
Monday,17,83930
Monday,18,60504
Monday,19,39688
Monday,20,29267
Monday,21,23202
Monday,22,20067
Monday,23,14318
Saturday,0,15952
Saturday,1,14380
Saturday,2,15145
Saturday,3,11815
Saturday,4,12049
Saturday,5,12705
Saturday,6,16253
Saturday,7,19404
Saturday,8,20753
Saturday,9,25188
Saturday,10,29378
Saturday,11,34022
Saturday,12,36285
Saturday,13,38126
Saturday,14,38527
Saturday,15,35973
Saturday,16,34258
Saturday,17,31049
Saturday,18,29735
Saturday,19,25861
Saturday,20,23382
Saturday,21,22705
Saturday,22,19979
Saturday,23,16229
Sunday,0,15597
Sunday,1,14191
Sunday,2,14493
Sunday,3,12404
Sunday,4,12034
Sunday,5,12033
Sunday,6,14453
Sunday,7,16518
Sunday,8,16178
Sunday,9,18478
Sunday,10,22727
Sunday,11,26583
Sunday,12,28447
Sunday,13,30339
Sunday,14,31277
Sunday,15,29421
Sunday,16,28587
Sunday,17,26871
Sunday,18,25602
Sunday,19,23010
Sunday,20,20590
Sunday,21,19940
Sunday,22,16609
Sunday,23,13733
Thursday,0,13891
Thursday,1,12100
Thursday,2,11014
Thursday,3,10198
Thursday,4,24815
Thursday,5,37075
Thursday,6,69140
Thursday,7,104584
Thursday,8,102396
Thursday,9,58799
Thursday,10,52592
Thursday,11,51872
Thursday,12,50142
Thursday,13,56744
Thursday,14,65464
Thursday,15,80366
Thursday,16,92490
Thursday,17,93895
Thursday,18,67061
Thursday,19,44012
Thursday,20,32018
Thursday,21,26163
Thursday,22,23045
Thursday,23,16261
Tuesday,0,12979
Tuesday,1,10722
Tuesday,2,9557
Tuesday,3,9072
Tuesday,4,22843
Tuesday,5,36740
Tuesday,6,72956
Tuesday,7,110840
Tuesday,8,109971
Tuesday,9,60557
Tuesday,10,52221
Tuesday,11,49875
Tuesday,12,47464
Tuesday,13,53672
Tuesday,14,61753
Tuesday,15,76775
Tuesday,16,90518
Tuesday,17,92393
Tuesday,18,66676
Tuesday,19,41162
Tuesday,20,29617
Tuesday,21,23624
Tuesday,22,20688
Tuesday,23,15248
Wednesday,0,13431
Wednesday,1,11476
Wednesday,2,10236
Wednesday,3,9408
Wednesday,4,24038
Wednesday,5,37364
Wednesday,6,72447
Wednesday,7,108922
Wednesday,8,107630
Wednesday,9,60980
Wednesday,10,52391
Wednesday,11,51392
Wednesday,12,48941
Wednesday,13,55802
Wednesday,14,63452
Wednesday,15,78155
Wednesday,16,90986
Wednesday,17,94034
Wednesday,18,68040
Wednesday,19,42936
Wednesday,20,31092
Wednesday,21,24756
Wednesday,22,22039
Wednesday,23,15916
