lat_bin,lng_bin,Severity,State,accident_count
24.6,-81.80000000000001,1,FL,1
24.6,-81.80000000000001,2,FL,25
24.6,-81.80000000000001,3,FL,1
24.6,-81.7,2,FL,67
24.6,-81.7,3,FL,1
24.6,-81.7,4,FL,14
24.6,-81.60000000000001,2,FL,40
24.6,-81.60000000000001,4,FL,7
24.6,-81.30000000000001,2,FL,5
24.6,-81.30000000000001,4,FL,3
24.700000000000003,-81.60000000000001,2,FL,1
24.700000000000003,-81.5,2,FL,33
24.700000000000003,-81.5,4,FL,14
24.700000000000003,-81.4,2,FL,31
24.700000000000003,-81.4,3,FL,1
24.700000000000003,-81.4,4,FL,3
24.700000000000003,-81.30000000000001,2,FL,29
24.700000000000003,-81.30000000000001,4,FL,5
24.700000000000003,-81.2,2,FL,31
24.700000000000003,-81.2,3,FL,1
24.700000000000003,-81.2,4,FL,12
24.700000000000003,-81.10000000000001,2,FL,82
24.700000000000003,-81.10000000000001,3,FL,5
24.700000000000003,-81.10000000000001,4,FL,17
24.700000000000003,-81.0,1,FL,1
24.700000000000003,-81.0,2,FL,39
24.700000000000003,-81.0,3,FL,1
24.700000000000003,-81.0,4,FL,4
24.8,-81.0,2,FL,7
24.8,-81.0,3,FL,1
24.8,-81.0,4,FL,1
24.8,-80.9,2,FL,38
24.8,-80.9,3,FL,2
24.8,-80.9,4,FL,12
24.8,-80.80000000000001,1,FL,1
24.8,-80.80000000000001,2,FL,26
24.8,-80.80000000000001,3,FL,1
24.8,-80.80000000000001,4,FL,7
24.8,-80.7,2,FL,6
24.900000000000002,-80.7,2,FL,34
24.900000000000002,-80.7,3,FL,4
24.900000000000002,-80.7,4,FL,17
24.900000000000002,-80.60000000000001,2,FL,44
24.900000000000002,-80.60000000000001,3,FL,1
24.900000000000002,-80.60000000000001,4,FL,14
25.0,-80.60000000000001,2,FL,32
25.0,-80.60000000000001,3,FL,1
25.0,-80.60000000000001,4,FL,10
25.0,-80.5,2,FL,89
25.0,-80.5,3,FL,1
25.0,-80.5,4,FL,8
25.1,-80.5,2,FL,43
25.1,-80.5,3,FL,1
25.1,-80.5,4,FL,5
25.1,-80.4,1,FL,1
25.1,-80.4,2,FL,107
25.1,-80.4,3,FL,9
25.1,-80.4,4,FL,6
25.200000000000003,-80.4,2,FL,140
25.200000000000003,-80.4,3,FL,12
25.200000000000003,-80.4,4,FL,29
25.3,-80.5,2,FL,9
25.3,-80.5,4,FL,2
25.3,-80.4,2,FL,49
25.3,-80.4,3,FL,5
25.3,-80.4,4,FL,14
25.3,-80.30000000000001,2,FL,12
25.3,-80.30000000000001,4,FL,3
25.400000000000002,-80.60000000000001,2,FL,4
25.400000000000002,-80.5,1,FL,3
25.400000000000002,-80.5,2,FL,849
25.400000000000002,-80.5,3,FL,8
25.400000000000002,-80.5,4,FL,13
25.400000000000002,-80.4,2,FL,10
25.400000000000002,-80.4,4,FL,1
25.5,-80.60000000000001,2,FL,2
25.5,-80.5,1,FL,1
25.5,-80.5,2,FL,1715
25.5,-80.5,3,FL,10
25.5,-80.5,4,FL,15
25.5,-80.4,1,FL,7
25.5,-80.4,2,FL,3570
25.5,-80.4,3,FL,38
25.5,-80.4,4,FL,37
25.5,-80.30000000000001,2,FL,11
25.6,-80.60000000000001,2,FL,1
25.6,-80.5,1,FL,5
25.6,-80.5,2,FL,755
25.6,-80.5,3,FL,2
25.6,-80.5,4,FL,4
25.6,-80.4,1,FL,12
25.6,-80.4,2,FL,13511
25.6,-80.4,3,FL,148
25.6,-80.4,4,FL,49
25.6,-80.30000000000001,1,FL,2
25.6,-80.30000000000001,2,FL,3584
25.6,-80.30000000000001,3,FL,25
25.6,-80.30000000000001,4,FL,8
25.700000000000003,-80.5,1,FL,3
25.700000000000003,-80.5,2,FL,656
25.700000000000003,-80.5,3,FL,7
25.700000000000003,-80.5,4,FL,4
25.700000000000003,-80.4,1,FL,23
25.700000000000003,-80.4,2,FL,27217
25.700000000000003,-80.4,3,FL,190
25.700000000000003,-80.4,4,FL,56
25.700000000000003,-80.30000000000001,1,FL,20
25.700000000000003,-80.30000000000001,2,FL,18296
25.700000000000003,-80.30000000000001,3,FL,211
25.700000000000003,-80.30000000000001,4,FL,107
25.700000000000003,-80.2,1,FL,1
25.700000000000003,-80.2,2,FL,833
25.700000000000003,-80.2,3,FL,33
25.700000000000003,-80.2,4,FL,25
25.8,-81.4,2,FL,1
25.8,-81.0,2,FL,3
25.8,-80.9,2,FL,3
25.8,-80.9,3,FL,1
25.8,-80.9,4,FL,2
25.8,-80.80000000000001,2,FL,12
25.8,-80.80000000000001,4,FL,2
25.8,-80.60000000000001,2,FL,2
25.8,-80.5,1,FL,1
25.8,-80.5,2,FL,284
25.8,-80.5,3,FL,1
25.8,-80.5,4,FL,6
25.8,-80.4,1,FL,10
25.8,-80.4,2,FL,9347
25.8,-80.4,3,FL,156
25.8,-80.4,4,FL,54
25.8,-80.30000000000001,1,FL,28
25.8,-80.30000000000001,2,FL,22601
25.8,-80.30000000000001,3,FL,770
25.8,-80.30000000000001,4,FL,213
