State,State Total Accidents,Road Feature,Avg Severity (Present),Avg Severity (Absent),Difference,Count Present,% of State's Accidents
AL,95890,Amenity,2.1301369863013697,2.2516893658863157,-0.12155237958494602,292,0.3
AL,95890,Bump,,2.2513192199395142,,0,0.0
AL,95890,Crossing,2.0743927125506074,2.2550418467960047,-0.1806491342453973,1976,2.06
AL,95890,Give_Way,2.0163755458515285,2.2558952986455165,-0.23951975279398807,1832,1.91
AL,95890,Junction,2.3506178822389145,2.246853306888397,0.10376457535051742,4127,4.3
AL,95890,No_Exit,2.0,2.2513585397653193,-0.2513585397653193,15,0.02
AL,95890,Railway,2.0817120622568095,2.2517750149007143,-0.1700629526439048,257,0.27
AL,95890,Roundabout,,2.2513192199395142,,0,0.0
AL,95890,Station,2.022727272727273,2.2525848870619325,-0.22985761433465957,528,0.55
AL,95890,Stop,2.0416666666666665,2.2537074148296594,-0.2120407481629929,1080,1.13
AL,95890,Traffic_Calming,1.8,2.25136629119733,-0.45136629119732974,10,0.01
AL,95890,Traffic_Signal,2.033493846976993,2.3040544041450777,-0.2705605571680847,18690,19.49
AL,95890,Turning_Loop,,2.2513192199395142,,0,0.0
AR,18385,Amenity,2.2195121951219514,2.2857064980375053,-0.06619430291555384,41,0.22
AR,18385,Bump,,2.285558879521349,,0,0.0
AR,18385,Crossing,2.101176470588235,2.2944967208440263,-0.19332025025579114,850,4.62
AR,18385,Give_Way,2.3076923076923075,2.285543217940344,0.02214908975196339,13,0.07
AR,18385,Junction,2.20907418761496,2.2930046556046317,-0.08393046798967152,1631,8.87
AR,18385,No_Exit,2.0833333333333335,2.2856909595602244,-0.2023576262268909,12,0.07
AR,18385,Railway,2.4895833333333335,2.2844879435726395,0.20509538976069397,96,0.52
AR,18385,Roundabout,,2.285558879521349,,0,0.0
AR,18385,Station,2.0,2.2856365614798695,-0.2856365614798695,5,0.03
AR,18385,Stop,2.409090909090909,2.285262526579794,0.12382838251111528,44,0.24
AR,18385,Traffic_Calming,,2.285558879521349,,0,0.0
AR,18385,Traffic_Signal,2.1331877729257642,2.2894516650861827,-0.15626389216041847,458,2.49
AR,18385,Turning_Loop,,2.285558879521349,,0,0.0
AZ,153989,Amenity,2.0397152491569877,2.12934179222839,-0.0896265430714025,2669,1.73
AZ,153989,Bump,1.9966777408637875,2.1283029200649337,-0.13162517920114625,602,0.39
