road_feature,avg_severity_present,avg_severity_absent,count_present
Amenity,2.073339193771192,2.231228094847002,87593
Bump,2.105330764290302,2.229303474563721,3114
Crossing,2.0670814264038673,2.2504606448542304,808018
Give_Way,2.183918776986813,2.229471732792861,34276
Junction,2.321502798683063,2.2218188646953436,520602
No_Exit,2.120885933273219,2.2295241725707586,17744
Railway,2.167488803790485,2.2297979374891677,61628
Roundabout,2.077272727272727,2.2292529944131774,220
Station,2.0817119124240175,2.2331903126108354,181785
Stop,2.0778409879284028,2.2335868539028505,194589
Traffic_Calming,2.138827999415461,2.229336873789566,6843
Traffic_Signal,2.091059296840755,2.2547487928235,1088203
Turning_Loop,,2.229248207789352,0
